id,key,value
97337195,created_by,JOSM
97337268,created_by,JOSM
97337494,created_by,JOSM
97337917,created_by,JOSM
97337922,created_by,JOSM
97338049,created_by,JOSM
97338373,created_by,JOSM
97338407,created_by,JOSM
97338563,created_by,JOSM
97338919,created_by,JOSM
97338931,created_by,JOSM
97338965,created_by,JOSM
97339583,created_by,JOSM
97339615,created_by,JOSM
97340373,created_by,JOSM
97340625,created_by,JOSM
97341014,created_by,JOSM
97341052,created_by,JOSM
97341092,created_by,JOSM
97341153,created_by,JOSM
97341414,created_by,JOSM
97341501,created_by,JOSM
97341810,created_by,JOSM
97341888,created_by,JOSM
97342140,created_by,JOSM
97342482,created_by,JOSM
97342537,created_by,JOSM
97342569,created_by,JOSM
97342893,created_by,JOSM
97343038,created_by,JOSM
97343175,created_by,JOSM
97343379,created_by,JOSM
97343534,created_by,JOSM
97343855,created_by,JOSM
97343993,created_by,JOSM
97344056,created_by,JOSM
97344152,created_by,JOSM
97344300,created_by,JOSM
97345068,created_by,JOSM
97345105,created_by,JOSM
97345528,created_by,JOSM
97345636,created_by,JOSM
97345790,created_by,JOSM
97345878,created_by,JOSM
97345923,created_by,JOSM
97346126,created_by,JOSM
97346341,created_by,JOSM
97346494,created_by,JOSM
97346569,created_by,JOSM
97346710,created_by,JOSM
97347023,created_by,JOSM
97347351,created_by,JOSM
97348054,created_by,JOSM
97348112,created_by,JOSM
97348312,created_by,JOSM
97348394,created_by,JOSM
97348452,created_by,JOSM
97348667,created_by,JOSM
97348823,created_by,JOSM
97349159,created_by,JOSM
97349308,created_by,JOSM
97349508,created_by,JOSM
97349553,created_by,JOSM
97350265,created_by,JOSM
97350647,created_by,JOSM
97350713,created_by,JOSM
97351000,created_by,JOSM
97351115,created_by,JOSM
97351415,created_by,JOSM
97351504,created_by,JOSM
97351571,created_by,JOSM
97351621,created_by,JOSM
97351668,created_by,JOSM
97351833,created_by,JOSM
97352402,created_by,JOSM
97352481,created_by,JOSM
97352644,created_by,JOSM
97352880,created_by,JOSM
97353020,created_by,JOSM
97353246,created_by,JOSM
97353362,created_by,JOSM
97353741,created_by,JOSM
97354462,created_by,JOSM
97354522,created_by,JOSM
97354572,created_by,JOSM
97355006,created_by,JOSM
97355215,created_by,JOSM
97355253,created_by,JOSM
97355603,created_by,JOSM
97355774,created_by,JOSM
97355923,created_by,JOSM
97356219,created_by,JOSM
97356746,created_by,JOSM
97357319,created_by,JOSM
97357860,created_by,JOSM
97357876,created_by,JOSM
97357904,created_by,JOSM
97357929,created_by,JOSM
97358424,created_by,JOSM
97395771,created_by,JOSM
97396237,created_by,JOSM
97396310,created_by,JOSM
97396316,created_by,JOSM
97396362,created_by,JOSM
97396423,created_by,JOSM
97396771,created_by,JOSM
97396778,created_by,JOSM
97396809,created_by,JOSM
97397201,created_by,JOSM
97397231,created_by,JOSM
97397633,created_by,JOSM
97397845,created_by,JOSM
97397927,created_by,JOSM
97398352,created_by,JOSM
97398406,created_by,JOSM
97398857,created_by,JOSM
97398868,created_by,JOSM
97398930,created_by,JOSM
97399094,created_by,JOSM
97399274,created_by,JOSM
97399328,created_by,JOSM
97399331,created_by,JOSM
97400028,created_by,JOSM
97400171,created_by,JOSM
97400417,created_by,JOSM
97400422,created_by,JOSM
97400657,created_by,JOSM
97400673,created_by,JOSM
97401063,created_by,JOSM
97401698,created_by,JOSM
97401913,created_by,JOSM
97401948,created_by,JOSM
97402476,created_by,JOSM
97402609,name,Praça Arariboia
97402609,public_transport,stop_position
97402701,created_by,JOSM
97402801,created_by,JOSM
97402885,created_by,JOSM
97402950,created_by,JOSM
97402996,created_by,JOSM
97403789,created_by,JOSM
97403819,created_by,JOSM
97403912,created_by,JOSM
97404015,created_by,JOSM
97404276,created_by,JOSM
97404374,created_by,JOSM
97404492,created_by,JOSM
97404536,created_by,JOSM
97404778,created_by,JOSM
97404780,created_by,JOSM
97405007,created_by,JOSM
97405162,created_by,JOSM
97405173,created_by,JOSM
97405735,created_by,JOSM
97405812,created_by,JOSM
97406396,created_by,JOSM
97406401,created_by,JOSM
97406452,created_by,JOSM
97407175,created_by,JOSM
97407209,created_by,JOSM
97407869,created_by,JOSM
97408009,created_by,JOSM
97408041,created_by,JOSM
97408247,created_by,JOSM
97408297,created_by,JOSM
97408513,created_by,JOSM
97408589,created_by,JOSM
97408649,created_by,JOSM
97408746,created_by,JOSM
97408758,created_by,JOSM
97408777,created_by,JOSM
97408871,created_by,JOSM
97408978,created_by,JOSM
97409472,created_by,JOSM
97409831,created_by,JOSM
97409882,created_by,JOSM
97410016,created_by,JOSM
97410121,created_by,JOSM
97410383,created_by,JOSM
97410461,created_by,JOSM
97410462,created_by,JOSM
97410493,created_by,JOSM
97410616,created_by,JOSM
122448553,barrier,toll_booth
122448553,name,Pedágio Ponte Presidente Costa e Silva
162001232,barrier,toll_booth
162005966,barrier,toll_booth
162015075,barrier,toll_booth
162021038,census,2010
162021038,name,Magé
162021038,place,city
162021038,population,228150
162021038,wikidata,Q841218
162357871,railway,level_crossing
162577457,census,2008
162577457,is_in:continent,South America
162577457,is_in:country,Brasil
162577457,is_in:state,Rio de Janeiro
162577457,is_in:state_code,RJ
162577457,name,Guapimirim
162577457,place,town
162577457,population,48688
162577457,wikidata,Q1761565
162943115,exit_to,Ilha da Conceição
162943115,highway,motorway_junction
162943115,ref,322
163007389,highway,traffic_signals
164196766,highway,motorway_junction
164196766,name,Gradim
164196766,name:pt,Gradim
164196766,ref,316
164858681,highway,motorway_junction
164890246,census,2008
164890246,is_in,Brazil
164890246,is_in:continent,South America
164890246,is_in:country,Brasil
164890246,is_in:state,Rio de Janeiro
164890246,is_in:state_code,RJ
164890246,name,Tanguá
164890246,place,town
164890246,population,30139
164890246,wikidata,Q1787049
164890762,census,2008
164890762,is_in:continent,South America
164890762,is_in:country,Brasil
164890762,is_in:state,Rio de Janeiro
164890762,is_in:state_code,RJ
164890762,name,Rio Bonito
164890762,old_name,Nossa Senhora da Conceição do Rio d'Ouro;Nossa Senhora da Conceição do Rio Bonito
164890762,place,town
164890762,population,54596
164890762,url,http://www.riobonito.rj.gov.br/
164890762,wikidata,Q1802187
164896502,census,2010
164896502,is_in:continent,South America
164896502,is_in:country,Brasil
164896502,is_in:state,Rio de Janeiro
164896502,is_in:state_code,RJ
164896502,name,Itaboraí
164896502,old_name,São João de Itaboraí
164896502,place,city
164896502,population,218090
164896502,url,http://www.itaborai.rj.gov.br/
164896502,wikidata,Q841244
164899448,amenity,townhall
164899448,created_by,Potlatch 0.5d
164932516,census,2010
164932516,flag,http://upload.wikimedia.org/wikipedia/commons/a/a6/Flag_of_S%C3%A3o_Gon%C3%A7alo.svg
164932516,is_in:continent,South America
164932516,is_in:country,Brasil
164932516,is_in:state,Rio de Janeiro
164932516,is_in:state_code,RJ
164932516,name,São Gonçalo
164932516,name:lt,San Gonsalas
164932516,name:lv,Sangonsalu
164932516,name:pt,São Gonçalo
164932516,place,city
164932516,population,1025507
164932516,website,http://www.saogoncalo.rj.gov.br/
164932516,wikipedia,pt:São Gonçalo (Rio de Janeiro)
164933235,amenity,townhall
164933235,created_by,Potlatch 0.5d
173430922,crossing,traffic_signals
173430922,highway,crossing
173453728,census,2013
173453728,is_in,Brasil
173453728,is_in:continent,South America
173453728,is_in:state,Rio de Janeiro
173453728,is_in:state_code,RJ
173453728,name,Niterói
173453728,old_name,Vila Real da Praia Grande
173453728,place,city
173453728,population,494200
173453728,website,http://www.niteroi.rj.gov.br/
173453728,wikidata,Q178725
173453728,wikipedia,pt:Niterói
260426550,railway,level_crossing
260426552,created_by,JOSM
260426557,created_by,JOSM
260426559,created_by,JOSM
260426603,created_by,JOSM
260426613,railway,level_crossing
260426613,source,survey
267503595,is_in,Maricá
267503595,name,Jaconé
267503595,place,suburb
267883927,traffic_calming,hump
267936382,highway,crossing
267936643,is_in,Niteroí
267936643,name,Itacoatiara
267936643,place,suburb
299626114,is_in,São Gonçalo
299626114,name,Laranjal
299626114,place,suburb
301491325,highway,traffic_signals
301491698,highway,traffic_signals
301491737,highway,traffic_signals
301665366,highway,traffic_signals
301665541,highway,traffic_signals
301666576,created_by,Potlatch 0.10d
301666576,name,Morro do Cruzeiro
301666576,natural,peak
303120180,amenity,post_office
303120180,created_by,Potlatch 0.10d
303120180,name,Correios
303149487,highway,traffic_signals
303153865,highway,traffic_signals
303337911,barrier,gate
303358889,entrance,yes
313489818,highway,traffic_signals
315551591,amenity,bus_station
315551591,name,Rodoviária Roberto Silveira
315551593,amenity,police
315551593,name,Polícia Federal
316484856,name,Martinica
316484856,shop,supermarket
320587829,highway,traffic_signals
320593788,highway,traffic_signals
320593790,highway,traffic_signals
320594130,highway,traffic_signals
320594131,highway,traffic_signals
320596248,highway,traffic_signals
320596477,source,survey
320596477,traffic_calming,table
320596481,highway,traffic_signals
320596911,barrier,gate
320596911,bicycle,yes
320596911,foot,yes
320596911,motorcar,yes
320596911,motorcycle,yes
320603347,highway,traffic_signals
320604064,highway,traffic_signals
320605633,highway,crossing
320606471,highway,traffic_signals
320607793,crossing,traffic_signals
320607793,crossing_ref,zebra
320607793,highway,crossing
320609781,traffic_calming,bump
320609807,amenity,bus_station
320609807,name,Jurujuba
320610659,barrier,lift_gate
320610659,motorcar,yes
320610701,barrier,gate
320611571,barrier,gate
320613994,barrier,gate
320613994,motorcar,yes
320621416,name,Morro da Boa Vista
320621416,natural,peak
320623634,highway,traffic_signals
320630549,name,Costão de Itacoatiara
320630549,natural,peak
320630660,name,Pedra do Pampo
320630660,natural,peak
320631168,ele,442
320631168,name,Mourão
320631168,natural,peak
320632043,created_by,Potlatch 0.10f
320632043,natural,peak
320632085,fixme,resurvey
320632085,name,Morro do Telégrafo
