id,user,uid,version,changeset,timestamp
10937008,dmgroom_ct,437598,4,10122513,2011-12-15T09:26:56Z
10937057,katpatuka,17497,2,839376,2009-01-26T15:45:20Z
10937169,dmgroom_ct,437598,4,10122513,2011-12-15T09:26:56Z
10937242,naoliv,463507,4,43435610,2016-11-06T07:02:04Z
10938258,ThiagoPv,502691,6,34299384,2015-09-28T09:25:01Z
10938269,erickdeoliveiraleal,463504,7,44180882,2016-12-05T11:37:06Z
10938273,Joao Carreiro,12910,2,7697519,2011-03-28T16:12:51Z
10938276,GSC,371376,70,42561399,2016-10-01T11:29:58Z
10938336,ThiagoPv,502691,6,41555094,2016-08-19T12:22:14Z
10938381,lmpinto,7396,2,646118,2008-01-16T10:56:06Z
10938388,erickdeoliveiraleal,463504,5,21109671,2014-03-15T01:31:13Z
10938433,naoliv,463507,21,43435610,2016-11-06T07:02:12Z
10938441,Skippern,31385,4,13566738,2012-10-20T12:40:18Z
10938445,erickdeoliveiraleal,463504,9,44180882,2016-12-05T11:37:06Z
10938450,MDENDENA,349620,7,21655742,2014-04-12T23:28:16Z
10938462,naoliv,463507,13,43435610,2016-11-06T07:02:12Z
10938493,Sturm br,604619,4,45962825,2017-02-10T03:31:18Z
10938512,naoliv,463507,15,43435610,2016-11-06T07:02:13Z
10938526,patodiez,1856060,4,41456527,2016-08-14T23:35:22Z
10938554,naoliv,463507,9,43435610,2016-11-06T07:02:13Z
10938579,Lucas Marques,1208664,10,19419869,2013-12-12T20:15:35Z
10938595,naoliv,463507,16,43435610,2016-11-06T07:02:14Z
10938597,Tom_Holland,574654,11,40276162,2016-06-25T06:10:32Z
10938599,Skippern,31385,2,13566738,2012-10-20T12:40:34Z
10938645,adrianojbr,2339960,19,41604669,2016-08-22T02:09:04Z
10938649,Sturm br,604619,4,45962825,2017-02-10T03:31:21Z
10938652,tarta,962387,16,28832919,2015-02-14T00:15:20Z
10938668,PkBuzios,5602165,4,47416220,2017-04-03T15:31:50Z
10938673,Sturm br,604619,4,45975072,2017-02-10T14:20:42Z
10938690,ThiagoPv,502691,42,41555094,2016-08-19T12:22:10Z
10938699,naoliv,463507,13,43435610,2016-11-06T07:02:19Z
10938723,ThiagoPv,502691,6,34321897,2015-09-29T10:43:38Z
10938731,Sturm br,604619,4,45962825,2017-02-10T03:31:19Z
10938738,erickdeoliveiraleal,463504,5,42484344,2016-09-28T03:30:25Z
10938771,Alexandrecw,893594,3,23026337,2014-06-19T14:59:54Z
10938791,naoliv,463507,15,43435610,2016-11-06T07:02:20Z
10938837,PkBuzios,5602165,2,47416036,2017-04-03T15:24:27Z
10938855,erickdeoliveiraleal,463504,5,44180882,2016-12-05T11:37:06Z
10938884,erickdeoliveiraleal,463504,4,42484344,2016-09-28T03:30:24Z
10938894,Thundercel,82797,20,24435503,2014-07-30T04:53:47Z
10938937,Sturm br,604619,4,45962825,2017-02-10T03:31:19Z
10938959,naoliv,463507,13,43435610,2016-11-06T07:02:20Z
10938987,bmog,65432,3,7263634,2011-02-12T11:26:05Z
10939053,Skippern,31385,2,13566738,2012-10-20T12:40:36Z
10939056,erickdeoliveiraleal,463504,5,42484344,2016-09-28T03:30:26Z
10939063,erickdeoliveiraleal,463504,8,44180882,2016-12-05T11:37:07Z
10939090,erickdeoliveiraleal,463504,3,21109671,2014-03-15T01:31:15Z
10939096,Alexandrecw,893594,5,23018806,2014-06-19T08:14:44Z
10939099,Skippern,31385,2,13566738,2012-10-20T12:40:29Z
