id,key,value
10937008,converted_by,mikes
10937008,natural,coastline
10937008,source,PGS & Bing
10937057,converted_by,mikes
10937057,created_by,Potlatch 0.10f
10937057,natural,coastline
10937057,source,PGS
10937169,converted_by,mikes
10937169,natural,coastline
10937169,source,PGS & Bing
10937242,coastline:survey_quality,complete
10937242,name,Ilha do Cabo Frio
10937242,natural,coastline
10937242,place,island
10937242,source,PGS
10938258,coastline:survey_quality,complete
10938258,natural,coastline
10938258,source,IBGE;GPS;PGS
10938269,name,Ilha Ananaz
10938269,natural,coastline
10938269,place,islet
10938273,natural,coastline
10938273,source,Bing
10938336,name,Ilha do Mexingueiro
10938336,natural,coastline
10938336,place,islet
10938336,source,PGS
10938381,converted_by,mikes
10938381,created_by,coast_josml.pl
10938381,natural,coastline
10938381,source,PGS
10938388,converted_by,mikes
10938388,source,PGS
10938433,admin_level,8
10938433,boundary,administrative
10938433,name,Ilha de Pancaraíba
10938433,natural,coastline
10938433,place,islet
10938433,source,Yahoo
10938441,coastline:survey_quality,complete
10938441,converted_by,mikes
10938441,name,Ilha do Boi
10938441,natural,coastline
10938441,source,PGS
10938445,natural,coastline
10938445,place,islet
10938445,source,Ilha dos Carecas
10938450,converted_by,mikes
10938450,natural,coastline
10938450,source,PGS
10938462,admin_level,8
10938462,boundary,administrative
10938462,name,Ilha do Ferro
10938462,natural,coastline
10938462,place,islet
10938462,source,Yahoo
10938493,natural,coastline
10938493,source,PGS & Bing
10938512,name,Ilha da Mãe
10938512,natural,coastline
10938512,place,islet
10938512,source,Yahoo
10938526,source,Bing
10938526,waterway,riverbank
10938554,name,Ilha da Menina
10938554,natural,coastline
10938554,place,islet
10938579,name,Ilha do Engenho
10938579,natural,coastline
10938579,place,island
10938595,admin_level,8
10938595,boundary,administrative
10938595,name,Ilha do Braço Forte
10938595,natural,coastline
10938595,place,islet
10938595,source,Yahoo
10938597,converted_by,mikes
10938597,left:4,Rio de Janeiro
10938597,left:8,Maricá
10938597,natural,coastline
10938597,source,PGS
10938599,coastline:survey_quality,complete
10938599,name,Ilha dos Papagaios
10938599,natural,coastline
10938599,source,PGS
10938645,converted_by,mikes
10938645,source,"PGS, Bing"
10938649,natural,coastline
10938649,source,PGS & Bing
10938652,converted_by,mikes
10938652,natural,coastline
10938652,source,PGS & Bing
10938668,name,Ilha Branca
10938668,natural,coastline
10938668,place,islet
10938673,natural,coastline
10938673,source,PGS & Bing
10938690,natural,coastline
10938699,name,Ilha do Pai
10938699,natural,coastline
10938699,place,islet
10938699,source,Yahoo
10938723,converted_by,mikes
10938723,natural,coastline
10938723,source,PGS
10938731,natural,coastline
10938731,source,PGS & Bing
10938738,name,Ilha do Coboclo
10938738,natural,coastline
10938738,place,islet
10938771,converted_by,mikes
10938771,note,part of mp realtion
10938771,source,PGS
10938791,admin_level,8
10938791,boundary,administrative
10938791,name,Ilha Redonda de Dentro
10938791,natural,coastline
10938791,place,islet
10938791,source,Yahoo
10938837,converted_by,mikes
10938837,name,Ilha Feia
10938837,natural,coastline
10938837,source,PGS
10938855,name,Ilhas Duas Irmãs
10938855,natural,coastline
10938855,place,islet
10938855,source,PGS
10938884,coastline:survey_quality,complete
10938884,name,Ilha Rasa
10938884,natural,coastline
10938884,place,islet
10938894,name,Lagoa de Araruama
10938894,natural,water
10938894,source,PGS & Bing
10938894,water,lagoon
10938937,natural,coastline
10938937,source,PGS & Bing
10938959,name,Ilha do Manguinho
10938959,natural,coastline
10938959,place,islet
